Date;Open;High;Low;Close;Adj Close;Volume;
01.05.2013;1.289000;1.499000;1.256000;1.324000;1.085115;2632621213;
01.06.2013;1.305000;1.350000;1.100000;1.301000;1.066265;2273867000;
01.07.2013;1.305000;1.408000;1.223000;1.236000;1.012993;1437596000;
01.08.2013;1.248000;1.317000;1.151000;1.183000;0.969555;1010254000;
01.09.2013;1.183000;1.216000;1.108000;1.108000;0.908087;1075336000;
01.10.2013;1.107000;1.132000;0.931000;0.938000;0.768760;2325798000;
01.11.2013;0.936000;0.950000;0.670000;0.780000;0.639267;7288333000;
01.12.2013;0.772000;1.024000;0.755000;1.000000;0.819574;12752678000;
01.01.2014;1.000000;1.179000;0.820000;1.053000;0.863011;10649767000;
01.02.2014;1.052000;1.164000;0.940000;0.976000;0.799904;8084751000;
01.03.2014;0.921000;0.929000;0.626000;0.800000;0.655659;11261785000;
01.04.2014;0.809000;0.843000;0.676000;0.732000;0.599928;4643062000;
01.05.2014;0.732000;0.965000;0.696000;0.952000;0.780234;5026400000;
01.06.2014;0.955000;0.999000;0.920000;0.953000;0.781054;2519408838;
01.07.2014;0.953000;0.988000;0.783000;0.838000;0.686803;2463047198;
01.08.2014;0.830000;0.934000;0.788000;0.904000;0.740894;1767642227;
01.09.2014;0.909000;0.963000;0.873000;0.886000;0.726142;2974970352;
01.10.2014;0.884000;0.982000;0.850000;0.959000;0.785971;2056709508;
01.11.2014;0.950000;0.978000;0.884000;0.895000;0.733518;992151251;
01.12.2014;0.885000;0.954000;0.515000;0.712000;0.583536;1449620836;
01.01.2015;0.712000;0.839400;0.687100;0.723000;0.592552;519754000;
01.02.2015;0.730000;0.950000;0.700000;0.918800;0.753024;2138316785;
01.03.2015;0.921000;1.109800;0.839900;1.099900;0.901449;2128237183;
01.04.2015;1.099000;1.216800;1.035300;1.209800;0.991520;2076447003;
01.05.2015;1.209800;1.297500;1.140000;1.249000;1.023647;1387558830;
01.06.2015;1.240000;1.249000;1.076500;1.225000;1.003978;1281046748;
01.07.2015;1.222000;1.227000;1.100000;1.133500;0.929826;929427722;
01.08.2015;1.133000;1.146500;0.986000;1.138000;0.933517;623432061;
01.09.2015;1.137000;1.151000;1.036000;1.053500;0.864201;1144389989;
01.10.2015;1.055500;1.230000;1.043000;1.220000;1.000783;966297758;
01.11.2015;1.215000;1.266500;1.117500;1.174500;0.963459;1008829533;
01.12.2015;1.170500;1.200000;1.016000;1.106000;0.907267;1747070142;
01.01.2016;1.106000;1.430500;1.106000;1.340000;1.099221;2042352377;
01.02.2016;1.349000;1.619000;1.316500;1.590000;1.304299;1453418132;
01.03.2016;1.603000;1.845000;1.563500;1.840000;1.509378;1429226652;
01.04.2016;1.782000;1.849500;1.600000;1.797500;1.474514;1727449325;
01.05.2016;1.797500;1.970000;1.663500;1.960000;1.607815;2190994457;
01.06.2016;1.945500;2.605000;1.945500;2.524000;2.070472;3382716451;
01.07.2016;2.523500;2.880000;2.415000;2.614000;2.159776;1667995717;
01.08.2016;2.619500;2.975000;2.461000;2.850000;2.354767;1338536296;
01.09.2016;2.848500;3.287000;2.815500;3.190500;2.636100;3148263258;
01.10.2016;3.190000;3.419000;3.021500;3.400000;2.809196;3794992308;
01.11.2016;3.397500;4.075000;3.375500;3.800000;3.139689;6443335279;
01.12.2016;3.800000;3.877500;3.405500;3.844000;3.176044;3373514678;
01.01.2017;3.844000;4.299500;3.710000;4.073500;3.365664;3614738400;
01.02.2017;4.051500;4.128500;3.043500;4.025500;3.326005;3042300460;
01.03.2017;3.985000;4.163000;3.450000;4.012500;3.315264;3408814967;
01.04.2017;4.010000;4.208500;3.766500;4.050000;3.346248;2333994126;
01.05.2017;4.050000;4.170000;3.761500;3.989000;3.295848;1504243389;
01.06.2017;3.980000;4.084000;3.561000;3.833000;3.166955;2606105092;
01.07.2017;3.849000;3.915000;3.703500;3.780000;3.252471;1541104084;
